survival_time,survival_rate,total_gains,gain,efficiency,equality,over_usage,gains_by_agent,scenario,model,run,Type
1,0.0,100.0,20.0,16.666666666666664,56.400000000000006,40.0,"{'persona_0': 42.0, 'persona_1': 40.0, 'persona_2': 8.0, 'persona_3': 5.0, 'persona_4': 5.0}",fishing_v6.4_final,Univ_alt_Mistral-7B-Instruct-v0.2,firm-terrain-575,run
12,100.0,395.0,79.0,65.83333333333333,85.41772151898735,10.0,"{'persona_0': 99.0, 'persona_1': 63.0, 'persona_2': 97.0, 'persona_3': 92.0, 'persona_4': 44.0}",fishing_v6.4_final,Univ_alt_Mistral-7B-Instruct-v0.2,good-gorge-554,run
7,0.0,278.0,55.6,46.333333333333336,96.69064748201438,45.714285714285715,"{'persona_0': 57.0, 'persona_1': 54.0, 'persona_2': 50.0, 'persona_3': 60.0, 'persona_4': 57.0}",fishing_v6.4_final,Univ_alt_Phi-4,charmed-sound-440,run
12,100.0,393.0,78.6,65.5,97.96437659033079,18.333333333333332,"{'persona_0': 78.0, 'persona_1': 76.0, 'persona_2': 75.0, 'persona_3': 82.0, 'persona_4': 82.0}",fishing_v6.4_final,Univ_alt_Phi-4,daily-fire-401,run
12,100.0,600.0,120.0,100.0,100.0,0.0,"{'persona_0': 120.0, 'persona_1': 120.0, 'persona_2': 120.0, 'persona_3': 120.0, 'persona_4': 120.0}",fishing_v6.4_final,Univ_alt_Phi-4,faithful-star-435,run
12,100.0,600.0,120.0,100.0,100.0,0.0,"{'persona_0': 120.0, 'persona_1': 120.0, 'persona_2': 120.0, 'persona_3': 120.0, 'persona_4': 120.0}",fishing_v6.4_final,Univ_alt_Phi-4,jumping-elevator-441,run
12,100.0,600.0,120.0,100.0,100.0,0.0,"{'persona_0': 120.0, 'persona_1': 120.0, 'persona_2': 120.0, 'persona_3': 120.0, 'persona_4': 120.0}",fishing_v6.4_final,Univ_alt_Phi-4,ruby-dawn-438,run
12,100.0,564.0,112.8,94.0,98.36879432624114,0.0,"{'persona_0': 113.0, 'persona_1': 120.0, 'persona_2': 110.0, 'persona_3': 110.0, 'persona_4': 111.0}",fishing_v6.4_final,Univ_DeepSeek-R1-Distill-Llama-8B,fast-puddle-607,run
2,0.0,140.0,28.0,23.33333333333333,58.857142857142854,10.0,"{'persona_0': 78.0, 'persona_1': 12.0, 'persona_2': 10.0, 'persona_3': 20.0, 'persona_4': 20.0}",fishing_v6.4_final,Univ_DeepSeek-R1-Distill-Llama-8B,leafy-sponge-620,run
11,0.0,560.0,112.0,93.33333333333333,92.14285714285715,1.8181818181818181,"{'persona_0': 100.0, 'persona_1': 150.0, 'persona_2': 110.0, 'persona_3': 100.0, 'persona_4': 100.0}",fishing_v6.4_final,Univ_DeepSeek-R1-Distill-Llama-8B,pretty-wind-621,run
12,100.0,555.0,111.0,92.5,94.95495495495496,6.666666666666667,"{'persona_0': 108.0, 'persona_1': 107.0, 'persona_2': 128.0, 'persona_3': 97.0, 'persona_4': 115.0}",fishing_v6.4_final,Univ_DeepSeek-R1-Distill-Llama-8B,super-frost-609,run
7,0.0,341.0,68.2,56.833333333333336,85.33724340175954,8.571428571428571,"{'persona_0': 60.0, 'persona_1': 70.0, 'persona_2': 106.0, 'persona_3': 52.0, 'persona_4': 53.0}",fishing_v6.4_final,Univ_DeepSeek-R1-Distill-Llama-8B,tough-energy-606,run
1,0.0,100.0,20.0,16.666666666666664,85.6,80.0,"{'persona_0': 20.0, 'persona_1': 27.0, 'persona_2': 10.0, 'persona_3': 22.0, 'persona_4': 21.0}",fishing_v6.4_final,Univ_Meta-Llama-2-7B,blooming-dust-402,run
1,0.0,100.0,20.0,16.666666666666664,80.4,80.0,"{'persona_0': 21.0, 'persona_1': 32.0, 'persona_2': 10.0, 'persona_3': 21.0, 'persona_4': 16.0}",fishing_v6.4_final,Univ_Meta-Llama-2-7B,chocolate-feather-400,run
1,0.0,100.0,20.0,16.666666666666664,95.19999999999999,100.0,"{'persona_0': 20.0, 'persona_1': 20.0, 'persona_2': 17.0, 'persona_3': 20.0, 'persona_4': 23.0}",fishing_v6.4_final,Univ_Meta-Llama-2-7B,fanciful-music-403,run
1,0.0,100.0,20.0,16.666666666666664,74.0,60.0,"{'persona_0': 10.0, 'persona_1': 35.0, 'persona_2': 10.0, 'persona_3': 20.0, 'persona_4': 25.0}",fishing_v6.4_final,Univ_Meta-Llama-2-7B,hopeful-plant-398,run
1,0.0,100.0,20.0,16.666666666666664,84.8,80.0,"{'persona_0': 27.0, 'persona_1': 21.0, 'persona_2': 10.0, 'persona_3': 19.0, 'persona_4': 23.0}",fishing_v6.4_final,Univ_Meta-Llama-2-7B,vital-fire-397,run
12,100.0,239.0,47.8,39.83333333333333,79.581589958159,5.0,"{'persona_0': 34.0, 'persona_1': 89.0, 'persona_2': 42.0, 'persona_3': 42.0, 'persona_4': 32.0}",fishing_v6.4_final,Univ_Meta-Llama-3-8B,devoted-resonance-296,run
